25/4/24,23:28:11,Admin,Headquarter
25/4/24,23:29:17,Atom,Staff
25/4/24,23:29:31,Troy,Manager
25/4/24,23:35:19,Atom,Staff
25/4/24,23:35:28,Troy,Manager
25/4/24,23:39:29,Atom,Staff
26/4/24,12:32:04,Troy,Manager
26/4/24,12:39:07,Admin,Headquarter
26/4/24,12:39:39,Admin,Headquarter
26/4/24,12:42:14,Admin,Headquarter
26/4/24,12:45:36,Troy,Manager
26/4/24,12:46:23,Atom,Staff
26/4/24,15:07:10,Admin,Headquarter
26/4/24,15:10:34,Admin,Headquarter
26/4/24,15:11:52,Admin,Headquarter
26/4/24,15:12:33,Admin,Headquarter
26/4/24,15:14:20,Troy,Manager
26/4/24,15:14:36,Admin,Headquarter
26/4/24,15:15:14,Atom,Staff
26/4/24,15:16:04,Troy,Manager
26/4/24,15:17:08,Admin,Headquarter
26/4/24,15:17:52,Troy,Manager
26/4/24,15:21:13,Troy,Manager
26/4/24,15:21:30,Woody,Manager
26/4/24,15:22:18,Admin,Headquarter
26/4/24,15:22:36,Atom,Staff
26/4/24,15:23:48,Troy,Manager
26/4/24,15:24:11,Admin,Headquarter
26/4/24,15:25:08,Troy,Manager
26/4/24,15:25:36,Woody,Manager
26/4/24,15:25:49,Admin,Headquarter
26/4/24,15:26:22,Woody,Manager
26/4/24,15:26:37,Admin,Headquarter
26/4/24,15:27:18,Woody,Manager
26/4/24,15:28:39,Atom,Staff
26/4/24,15:29:13,Atom,Staff
26/4/24,15:29:35,Woody,Manager
26/4/24,15:31:08,Admin,Headquarter
26/4/24,15:31:43,Khun,Staff
26/4/24,15:32:29,Woody,Manager
26/4/24,15:32:47,Admin,Headquarter
26/4/24,15:31:11,Atom,Staff
26/4/24,15:32:29,Atom,Staff
26/4/24,15:33:41,Atom,Staff
