23/4/24,c,Headquarter,1,2
23/4/24,LoL,Manager,1,2
23/4/24,c,Headquarter,3,2
23/4/24,c,Headquarter,1,2
<<<<<<< HEAD
23/4/24,ewrewe,Manager,1,2
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,2,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,2,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,,Manager,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,2
24/4/24,c,Headquarter,2,1
24/4/24,c,Headquarter,2,2
24/4/24,,Manager,1,1
24/4/24,,Manager,2,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,2,2
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,2
24/4/24,,Manager,1,3
24/4/24,,Manager,2,2
24/4/24,c,Headquarter,1,2
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,,Manager,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,2
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
24/4/24,c,Headquarter,1,1
=======
23/4/24,Kok,Manager,1,2
>>>>>>> origin/Atom-Containers
